序号,城镇,迷宫,Boss,主要剧情
1,杭州城,大佛工地,查协,助官府抓贼
2,,（杭郊）,,回家
3,,（十里坡）,,回家
4,余杭镇,,,送信；遇忆如
5,仙灵岛,,李大娘,忆如生日
6,江宁城,粮仓,锦八爷,除鼠患，收御灵
7,,,沈齐,路见不平侠义事
8,玄武湖,,唐志达、林天南,七七代争武林盟主
9,,月凉山,,
10,,紫露竹林,扬枭,抢竹心，收御灵
11,碧湖村,（小路）,,忆如寻父行程
12,,江都离宫,万悲、南松、蕴儿,江都王旧事，收御灵
13,船,,猫公子,前往荆州遇袭
14,蓬莱龟背,奇岩小径,三灵童,落水被救
15,荆州城,邪雾密林,虞蛇,苏媚救叔父反背刺
16,,,武林人士三战,保苏媚
17,沱江吊桥,蜀中栈道,千眼蜈王,忆如寻父行程
18,圣姑居,,,逍遥旧事
19,水涟山夜,,,苏媚情事
20,,水涟山,,取天蛇杖路途
21,,熔岩洞窟,火蹄神鹿,保天蛇杖，收御灵
22,圣姑居,,,回魂仙梦见逍遥
23,采璃集,矿坑,魔岩尊者,峨嵋五女殒落
24,丰都城,,三面怪,打通黄泉巷
25,鬼都城,,北山姥姥,路见不平侠义事
26,鬼皇殿,,,见天鬼皇与姜婉儿
27,龙门石窟,龙门邪域,秦儒,抢迷离幻图
28,仙灵岛,,,忆如接任鬼族族长
29,开封城,,苏媚,杀张晓慧
30,开封幻境,,冻狸怪,解救天使绘卷
31,,丹枫谷,,离开幻境
32,摩诃禅寺,,,求助千叶救逍遥
33,杭州幻境,幻境迷宫,画妖琼琪,破画妖
34,峨嵋幻境,幻境迷宫,画妖琳琅,破画妖，救七七
35,仙灵岛幻境,,李逍遥、琼琪、冲月,破画妖，救逍遥
36,林家堡幻境,,画妖琬琰,忆如破画妖
37,摩诃禅寺,,,逍遥脱困修养
38,峨嵋金顶,峨嵋山道,山猪婆、猴神君、掌旗使,攻山夺剑
39,,冰火洞,冰火蛟龙,取五剑、订三生
40,摩诃禅寺,,,托剑保管
41,圣姑居,,,苏媚寻仇
42,水涟山夜,,,苏媚情事
43,圣姑居,,,求援阿奴
44,赎魂阵,,,忆如被唐钰掳走
45,,魔骸谷,石板守卫,追寻忆如
46,,魔骸谷浮台,木观音,七七被杀
47,,炙剑阵通道,苏媚、唐钰,驰援逍遥
48,,埋骨之地,孔璘、无相天妖,唤醒孔璘，灭无相
49,圣姑居,,,凯旋归
50,水涟山夜,,,怀疑千叶送剑
51,天界,,,忆如治伤，激活潜能
52,圣姑居,,,忆如归来
53,开封城,樊楼密室,左拳右腿、雷兽,发现禅寺秘密，收御灵
54,摩诃禅寺,,,找南松质问
55,禁咒空间,,,被困，遇沈青峰
56,,白虎禁咒,啸狼幻影,破关
57,,玄武禁咒,猫公子幻影,破关
58,,青龙禁咒,虞蛇幻影,破关
59,,朱雀禁咒,苏媚幻影,破关
60,禁咒空间,,,脱困，认岳父
61,摩诃禅寺,禅寺密道,喻南松、千叶,揭露、打败千叶
62,,禅寺密道,啸狼、虞蛇,追杀千叶余孽
63,荒郊野店,,猫公子,遇杀千叶余孽
64,圣姑居,,傀儡七七、圣姑,揭露圣姑
65,,通天绝途,伪女娲,打败圣姑，真相大白
66,蜀山开发山,,,支线
67,苏州城,,,支线
68,沈家堡,,,七七结局
69,杭州城,,,普通结局
70,水涟山夜,,,苏媚结局
71,峨嵋山,,,苏媚结局
